profile_name,post_id,post_date,post_time,likes,shares,followers,comments,content_type,comment_text
profile1,post1,2024-11-11,03:28,111,160,4450,31,VIDEO,"Disappointing content"
profile1,post2,2024-10-07,17:44,432,113,4421,34,TEXT,"I like the idea but execution needs work"
profile1,post3,2025-04-09,16:35,845,81,4618,8,VIDEO,"Keep it up!"
profile1,post4,2024-05-11,16:56,626,169,4685,30,VIDEO,"Love this content!"
profile1,post5,2025-01-19,16:08,609,7,4572,23,VIDEO,"Great post!"
profile1,post6,2024-12-09,22:40,257,71,4591,18,VIDEO,"Interesting content but too short"
profile1,post7,2024-10-31,21:52,266,44,4511,13,REEL,"Some good points but missing details"
profile1,post8,2024-12-03,07:11,176,191,4485,12,TEXT,"Not very helpful"
profile1,post9,2024-06-30,03:04,553,67,4753,40,PHOTO,"Awesome content!"
profile1,post10,2024-04-29,20:59,169,54,5127,38,PHOTO,"This is misleading"
profile1,post11,2024-09-21,04:18,446,118,4995,42,REEL,"Has potential but needs refinement"
profile1,post12,2024-12-25,08:04,370,109,4573,46,PHOTO,"Interesting content but too short"
profile1,post13,2024-05-24,07:37,41,88,5085,46,TEXT,"This is misleading"
profile1,post14,2025-01-04,01:46,538,147,5715,22,TEXT,"I like the idea but execution needs work"
profile1,post15,2024-12-04,23:26,247,116,5392,9,PHOTO,"Not very helpful"
profile1,post16,2024-05-10,14:13,508,123,5125,25,VIDEO,"Interesting content but too short"
profile1,post17,2025-04-18,08:24,164,197,4527,45,VIDEO,"Not what I expected"
profile1,post18,2025-04-01,02:21,142,154,5815,11,REEL,"Not very helpful"
profile1,post19,2024-08-25,17:52,54,125,4680,4,VIDEO,"Disappointing content"
profile1,post20,2025-02-12,03:35,986,198,4617,14,REEL,"Awesome content!"
profile1,post21,2024-12-20,16:12,854,15,4525,31,REEL,"Love this content!"
profile1,post22,2024-11-01,18:26,479,124,4643,23,REEL,"Awesome content!"
profile1,post23,2024-09-20,11:24,191,143,6266,7,PHOTO,"Needs improvement"
profile1,post24,2024-05-21,20:35,459,178,4981,3,PHOTO,"Interesting content but too short"
profile1,post25,2025-04-09,05:49,856,2,5157,3,TEXT,"Awesome content!"
profile1,post26,2024-05-24,02:31,581,51,5163,40,REEL,"Awesome content!"
profile1,post27,2024-07-31,20:41,153,89,7003,2,VIDEO,"Too basic"
profile1,post28,2024-09-19,05:06,49,142,4665,25,REEL,"This is misleading"
profile1,post29,2025-02-06,17:46,800,107,6938,1,VIDEO,"Amazing work!"
profile2,post1,2024-09-22,17:58,911,140,4246,49,VIDEO,"This is excellent!"
profile2,post2,2025-04-17,03:15,46,188,4367,7,VIDEO,"Not what I expected"
profile2,post3,2024-09-23,05:41,472,73,4263,2,VIDEO,"Great post!"
profile2,post4,2024-09-23,19:19,687,34,4247,20,PHOTO,"Awesome content!"
profile2,post5,2025-03-25,16:42,62,154,4628,23,REEL,"Too basic"
profile2,post6,2025-03-23,11:13,270,6,4473,19,VIDEO,"Good but could be better"
profile2,post7,2024-05-12,00:06,291,75,4721,36,PHOTO,"Some good points but missing details"
profile2,post8,2025-02-16,08:09,542,155,4451,9,TEXT,"This is excellent!"
profile2,post9,2024-12-11,03:07,963,199,5094,20,REEL,"Very helpful, thanks!"
profile2,post10,2024-08-19,03:45,508,191,4813,29,VIDEO,"So inspiring!"
profile2,post11,2024-12-02,11:09,966,162,5215,0,PHOTO,"Great post!"
profile2,post12,2024-12-30,18:08,830,138,4515,2,REEL,"Love this content!"
profile2,post13,2024-08-07,19:10,698,125,5360,47,PHOTO,"Keep it up!"
profile2,post14,2024-04-22,01:52,40,141,5127,5,VIDEO,"I don't agree"
profile2,post15,2024-07-20,23:15,120,175,5628,20,PHOTO,"Could be better"
profile2,post16,2024-06-29,01:16,8,34,4299,15,PHOTO,"Could be better"
profile2,post17,2024-06-05,18:11,873,108,5206,10,TEXT,"Keep it up!"
profile2,post18,2024-04-26,03:44,461,111,5985,18,REEL,"Interesting content but too short"
profile2,post19,2025-04-07,16:56,442,112,5704,45,TEXT,"Some good points but missing details"
profile2,post20,2025-03-27,21:54,200,85,5723,24,TEXT,"Disappointing content"
profile2,post21,2024-04-27,20:05,502,197,5358,21,TEXT,"Interesting content but too short"
profile2,post22,2024-10-15,05:28,173,75,5171,2,PHOTO,"Not what I expected"
profile2,post23,2024-10-17,03:18,391,113,5905,37,VIDEO,"Interesting content but too short"
profile2,post24,2024-08-14,23:19,907,186,4803,20,PHOTO,"Awesome content!"
profile2,post25,2024-05-02,19:40,141,70,5403,33,VIDEO,"Not very helpful"
profile2,post26,2025-02-08,16:10,495,76,4541,35,REEL,"Great post!"
profile2,post27,2024-07-15,08:52,534,72,6228,35,PHOTO,"Has potential but needs refinement"
profile2,post28,2024-08-20,13:05,139,174,5491,30,PHOTO,"Too basic"
profile2,post29,2024-10-20,01:36,931,154,6871,44,PHOTO,"Very helpful, thanks!"
profile2,post30,2025-03-07,16:58,191,34,5133,26,VIDEO,"This is misleading"
profile2,post31,2025-04-09,03:25,59,76,5009,22,VIDEO,"Too basic"
profile2,post32,2024-09-28,17:53,443,34,4459,35,REEL,"I like the idea but execution needs work"
profile2,post33,2024-07-31,16:30,321,99,6447,6,REEL,"I don't agree"
profile2,post34,2024-12-26,17:01,689,163,5801,37,REEL,"Keep it up!"
profile2,post35,2024-08-04,12:25,472,33,6863,11,REEL,"Interesting content but too short"
profile2,post36,2024-06-21,06:42,618,20,6615,19,TEXT,"Good but could be better"
profile2,post37,2024-04-22,21:53,399,23,7274,0,VIDEO,"Some good points but missing details"
profile2,post38,2024-08-10,07:12,43,118,6825,21,REEL,"Too basic"
profile2,post39,2024-10-14,05:59,555,169,6699,13,REEL,"Nice attempt but needs more depth"
profile2,post40,2024-04-27,08:04,468,95,6843,28,TEXT,"I like the idea but execution needs work"
profile2,post41,2025-02-06,18:30,505,44,4900,3,TEXT,"This is excellent!"
profile2,post42,2024-07-27,08:26,966,176,6387,14,TEXT,"Amazing work!"
profile2,post43,2025-02-23,11:17,304,42,5579,32,REEL,"Interesting content but too short"
profile2,post44,2025-02-28,22:06,476,102,4335,30,REEL,"Amazing work!"
profile2,post45,2024-09-11,19:40,478,145,5328,11,VIDEO,"Nice attempt but needs more depth"
profile2,post46,2024-05-07,00:33,793,103,5721,11,TEXT,"This is excellent!"
profile2,post47,2025-02-23,21:00,239,144,8621,41,VIDEO,"I don't agree"
profile2,post48,2025-02-25,23:29,888,37,6891,20,PHOTO,"Very helpful, thanks!"
profile2,post49,2024-12-28,08:51,901,26,5624,17,REEL,"Love this content!"
profile3,post1,2025-01-14,18:12,329,5,6005,43,VIDEO,"I like the idea but execution needs work"
profile3,post2,2024-06-07,00:34,315,187,6024,23,VIDEO,"I like the idea but execution needs work"
profile3,post3,2024-06-28,07:23,526,107,5994,0,REEL,"Nice attempt but needs more depth"
profile3,post4,2024-09-28,10:43,247,117,6088,8,TEXT,"Needs improvement"
profile3,post5,2024-10-15,09:46,60,129,6267,27,VIDEO,"Not very helpful"
profile3,post6,2024-10-05,10:30,234,186,5952,20,REEL,"Not what I expected"
profile3,post7,2024-07-22,22:04,831,99,6400,7,REEL,"This is excellent!"
profile3,post8,2025-02-18,22:52,997,6,6280,35,VIDEO,"Awesome content!"
profile3,post9,2024-10-02,01:48,323,38,6798,45,REEL,"Needs improvement"
profile3,post10,2025-02-02,11:14,451,3,6862,48,REEL,"I like the idea but execution needs work"
profile3,post11,2024-10-25,10:26,552,162,6678,18,PHOTO,"Has potential but needs refinement"
profile3,post12,2025-04-13,05:53,707,80,6468,8,PHOTO,"Amazing work!"
profile3,post13,2024-12-10,13:43,225,166,7122,38,PHOTO,"Not what I expected"
profile3,post14,2024-11-04,17:30,487,181,6498,47,REEL,"Interesting content but too short"
profile3,post15,2024-10-16,18:48,868,10,6702,17,TEXT,"This is excellent!"
profile3,post16,2024-07-08,23:25,712,42,7344,21,VIDEO,"Has potential but needs refinement"
profile3,post17,2025-01-10,05:35,626,128,6768,39,TEXT,"Nice attempt but needs more depth"
profile3,post18,2024-07-24,15:19,616,173,6888,39,REEL,"Nice attempt but needs more depth"
profile3,post19,2024-05-19,12:59,560,32,6731,20,REEL,"Good but could be better"
profile3,post20,2024-08-29,01:10,967,8,7372,41,REEL,"This is excellent!"
profile3,post21,2024-09-22,11:09,246,118,6729,31,PHOTO,"Too basic"
profile3,post22,2024-12-22,10:26,282,126,6238,15,VIDEO,"Not what I expected"
profile3,post23,2025-02-18,17:45,563,106,7516,1,TEXT,"Interesting content but too short"
profile3,post24,2025-02-09,14:53,912,90,7560,4,VIDEO,"This is excellent!"
profile3,post25,2024-08-08,14:00,630,132,6777,25,PHOTO,"I like the idea but execution needs work"
profile3,post26,2024-07-20,18:02,132,95,6368,23,VIDEO,"I don't agree"
profile3,post27,2025-01-13,00:28,50,102,6195,0,REEL,"Disappointing content"
profile3,post28,2024-09-02,06:59,695,95,8220,23,VIDEO,"I like the idea but execution needs work"
profile3,post29,2025-02-08,02:53,974,104,7953,49,TEXT,"Keep it up!"
profile3,post30,2025-03-04,22:03,398,162,8502,20,TEXT,"Not what I expected"
profile3,post31,2025-04-19,03:19,283,103,6572,37,PHOTO,"Could be better"
profile3,post32,2024-12-25,00:45,914,132,7936,7,PHOTO,"So inspiring!"
profile4,post1,2024-08-24,15:23,702,22,5379,5,VIDEO,"So inspiring!"
profile4,post2,2024-09-29,04:22,216,29,5523,35,PHOTO,"This is misleading"
profile4,post3,2025-03-25,11:09,968,96,5594,43,VIDEO,"Awesome content!"
profile4,post4,2025-03-22,19:55,686,50,5433,31,REEL,"Love this content!"
profile4,post5,2024-06-27,14:15,923,97,5640,26,PHOTO,"Great post!"
profile4,post6,2024-05-25,00:34,154,181,5519,0,TEXT,"Needs improvement"
profile4,post7,2025-03-16,13:29,485,158,5968,41,REEL,"Nice attempt but needs more depth"
profile4,post8,2024-06-03,05:54,901,148,5409,7,TEXT,"Awesome content!"
profile4,post9,2025-02-25,06:51,694,173,5588,42,REEL,"Great post!"
profile4,post10,2024-12-13,21:46,26,195,6105,4,PHOTO,"Not very helpful"
profile4,post11,2024-08-09,09:36,396,68,5796,44,REEL,"Interesting content but too short"
profile4,post12,2025-02-13,18:02,261,78,5945,39,PHOTO,"Could be better"
profile4,post13,2025-04-09,22:13,591,130,6125,4,VIDEO,"Good but could be better"
profile4,post14,2025-03-26,07:11,578,153,5569,28,PHOTO,"So inspiring!"
profile4,post15,2024-06-03,06:49,796,144,5975,26,VIDEO,"Keep it up!"
profile4,post16,2024-11-15,10:45,336,193,6833,1,PHOTO,"I don't agree"
profile4,post17,2024-10-17,00:12,817,74,6926,9,PHOTO,"Amazing work!"
profile4,post18,2024-11-12,08:10,456,166,7037,19,REEL,"Good but could be better"
profile4,post19,2024-11-23,21:47,294,86,7055,18,TEXT,"Not very helpful"
profile4,post20,2024-07-03,08:10,442,65,6225,28,REEL,"Some good points but missing details"
profile4,post21,2024-11-21,15:41,874,199,5576,47,VIDEO,"Awesome content!"
profile4,post22,2025-02-13,20:13,827,29,7215,2,VIDEO,"Keep it up!"
profile4,post23,2024-04-22,03:17,727,99,6449,45,VIDEO,"Love this content!"
profile4,post24,2025-02-26,14:21,517,4,7193,25,TEXT,"Interesting content but too short"
profile4,post25,2024-09-23,04:19,431,147,7770,35,PHOTO,"Nice attempt but needs more depth"
profile4,post26,2024-07-02,06:59,51,182,7425,21,REEL,"Not what I expected"
profile4,post27,2024-10-25,18:29,811,172,7991,3,PHOTO,"Very helpful, thanks!"
profile4,post28,2024-07-14,16:03,382,192,5513,7,TEXT,"Some good points but missing details"
profile4,post29,2024-10-19,12:19,601,126,6621,5,VIDEO,"Has potential but needs refinement"
profile4,post30,2024-09-08,19:50,441,75,5825,16,TEXT,"Has potential but needs refinement"
profile4,post31,2025-02-02,13:15,417,116,6275,45,VIDEO,"Has potential but needs refinement"
profile4,post32,2025-02-23,13:30,101,139,6689,49,VIDEO,"Could be better"
profile4,post33,2024-07-15,01:11,496,186,8084,6,VIDEO,"Nice attempt but needs more depth"
profile4,post34,2024-10-28,04:31,173,1,5379,41,PHOTO,"Needs improvement"
profile4,post35,2024-07-30,06:34,423,132,5555,29,REEL,"Nice attempt but needs more depth"
profile4,post36,2025-01-29,02:42,962,188,7145,42,REEL,"Awesome content!"
profile4,post37,2025-01-22,03:07,274,122,5863,1,REEL,"I don't agree"
profile5,post1,2025-01-25,06:28,797,183,2084,6,REEL,"Great post!"
profile5,post2,2025-01-28,02:41,579,19,2122,34,TEXT,"Love this content!"
profile5,post3,2024-10-09,01:16,704,113,2168,46,PHOTO,"Very helpful, thanks!"
profile5,post4,2024-12-15,23:52,955,39,2356,40,REEL,"So inspiring!"
profile5,post5,2024-08-24,19:28,727,182,2124,7,PHOTO,"Love this content!"
profile5,post6,2025-02-27,00:32,788,102,2306,21,VIDEO,"So inspiring!"
profile5,post7,2024-07-12,12:20,563,152,2654,34,REEL,"Awesome content!"
profile5,post8,2024-11-29,21:25,353,129,2256,31,REEL,"Very helpful, thanks!"
profile5,post9,2024-06-16,01:03,471,96,2861,5,VIDEO,"So inspiring!"
profile5,post10,2024-06-26,14:37,189,188,2684,4,TEXT,"Interesting content but too short"
profile5,post11,2024-06-11,22:02,562,153,2024,4,VIDEO,"Great post!"
profile5,post12,2024-10-10,19:26,332,129,2120,3,REEL,"Very helpful, thanks!"
profile5,post13,2024-10-30,15:19,25,6,3233,24,PHOTO,"Could be better"
profile5,post14,2024-07-02,19:15,871,159,2864,49,VIDEO,"So inspiring!"
profile5,post15,2024-08-08,07:38,384,174,3314,8,VIDEO,"Amazing work!"
profile5,post16,2025-03-20,22:47,927,86,3160,49,REEL,"Awesome content!"
profile5,post17,2024-11-19,00:45,961,185,3367,26,TEXT,"So inspiring!"
profile5,post18,2025-03-25,13:45,744,149,3590,31,REEL,"So inspiring!"
profile5,post19,2024-09-23,01:02,748,151,3772,28,PHOTO,"Love this content!"
profile5,post20,2024-05-05,08:51,478,180,3024,13,TEXT,"So inspiring!"
profile5,post21,2024-05-18,20:12,900,180,3830,21,VIDEO,"Keep it up!"
profile5,post22,2025-03-18,10:45,644,99,2772,27,TEXT,"Keep it up!"
profile5,post23,2024-12-28,01:41,240,57,3703,36,PHOTO,"Has potential but needs refinement"
profile5,post24,2025-03-09,11:45,966,64,3488,31,REEL,"Awesome content!"
profile5,post25,2024-08-07,07:49,328,37,2174,33,VIDEO,"Awesome content!"
profile5,post26,2024-12-10,23:42,896,119,4338,42,REEL,"Keep it up!"
profile5,post27,2025-03-04,09:29,163,149,2483,16,VIDEO,"Has potential but needs refinement"
profile5,post28,2024-07-16,01:20,952,179,3620,48,TEXT,"Great post!"
profile5,post29,2025-01-20,04:16,824,43,2604,28,PHOTO,"This is excellent!"
profile5,post30,2024-10-05,20:47,270,191,2414,9,PHOTO,"Great post!"
profile5,post31,2024-07-17,03:59,73,2,4349,20,TEXT,"I don't agree"
profile5,post32,2024-08-29,07:41,236,114,2408,0,VIDEO,"Has potential but needs refinement"
profile5,post33,2024-04-29,17:53,522,142,4631,12,PHOTO,"This is excellent!"
profile5,post34,2024-08-12,11:53,796,12,4098,33,PHOTO,"This is excellent!"
profile6,post1,2025-01-26,04:09,339,88,5693,19,TEXT,"I like the idea but execution needs work"
profile6,post2,2025-01-17,23:13,703,163,5677,21,TEXT,"So inspiring!"
profile6,post3,2024-11-09,06:44,184,143,5800,37,VIDEO,"Disappointing content"
profile6,post4,2024-12-09,07:43,735,118,5785,4,TEXT,"Love this content!"
profile6,post5,2025-03-19,15:13,952,23,5685,2,TEXT,"Great post!"
profile6,post6,2025-01-07,06:02,450,191,5713,43,REEL,"Has potential but needs refinement"
profile6,post7,2024-05-15,13:43,650,44,6242,1,VIDEO,"So inspiring!"
profile6,post8,2025-04-15,21:02,237,61,5637,26,TEXT,"Needs improvement"
profile6,post9,2025-01-23,07:05,535,96,6451,32,REEL,"Nice attempt but needs more depth"
profile6,post10,2024-09-16,09:28,323,133,5885,17,VIDEO,"Good but could be better"
profile6,post11,2024-12-18,03:56,140,191,6364,28,VIDEO,"I don't agree"
profile6,post12,2024-12-05,23:11,900,162,6097,48,VIDEO,"So inspiring!"
profile6,post13,2024-06-07,13:17,401,134,6853,49,PHOTO,"Interesting content but too short"
profile6,post14,2024-11-22,04:36,133,116,6165,1,REEL,"Disappointing content"
profile6,post15,2024-05-20,02:49,744,6,6280,17,PHOTO,"Keep it up!"
profile6,post16,2025-04-13,12:31,908,23,5637,41,PHOTO,"Amazing work!"
profile6,post17,2024-11-10,12:58,835,80,5741,21,VIDEO,"Love this content!"
profile6,post18,2024-12-18,08:08,471,148,7261,29,PHOTO,"Good but could be better"
profile6,post19,2024-07-21,20:49,153,9,6194,12,PHOTO,"Not very helpful"
profile6,post20,2025-02-25,18:45,958,88,5845,11,REEL,"This is excellent!"
profile6,post21,2024-10-13,11:22,383,10,5731,37,REEL,"Nice attempt but needs more depth"
profile6,post22,2025-01-07,09:24,941,102,6463,22,VIDEO,"This is excellent!"
profile6,post23,2024-08-16,11:23,828,170,5720,12,PHOTO,"Keep it up!"
profile6,post24,2024-12-16,07:38,839,27,5821,41,REEL,"Awesome content!"
profile6,post25,2025-04-03,16:04,306,191,5655,24,TEXT,"Has potential but needs refinement"
profile6,post26,2024-05-15,08:46,979,50,5735,14,TEXT,"This is excellent!"
profile6,post27,2024-12-12,01:24,388,46,7927,14,TEXT,"Disappointing content"
profile6,post28,2024-07-27,14:06,286,134,6221,46,PHOTO,"I don't agree"
profile6,post29,2024-07-30,00:54,397,195,7954,12,REEL,"Not what I expected"
